"['2023-07-07', '07:08:21', '79', '235']"
"['2023-07-07', '07:08:22', '77', '238']"
"['2023-07-07', '07:08:23', '78', '239']"
"['2023-07-07', '07:08:24', '78', '235']"
"['2023-07-07', '07:08:25', '100', '258']"
"['2023-07-07', '07:08:26', '81', '236']"
"['2023-07-07', '07:08:27', '77', '238']"
"['2023-07-07', '07:08:28', '78', '236']"
"['2023-07-07', '07:08:29', '77', '241']"
"['2023-07-07', '07:08:30', '100', '267']"
"['2023-07-07', '07:08:31', '76', '236']"
"['2023-07-07', '07:08:32', '79', '233']"
"['2023-07-07', '07:08:33', '80', '236']"
"['2023-07-07', '07:08:34', '79', '234']"
"['2023-07-07', '07:08:35', '79', '234']"
"['2023-07-07', '07:08:36', '78', '236']"
"['2023-07-07', '07:08:37', '76', '237']"
"['2023-07-07', '07:08:38', '79', '237']"
"['2023-07-07', '07:08:39', '80', '235']"
"['2023-07-07', '07:08:40', '92', '234']"
"['2023-07-07', '07:08:41', '79', '234']"
"['2023-07-07', '07:08:42', '80', '237']"
"['2023-07-07', '07:08:43', '77', '235']"
"['2023-07-07', '07:08:44', '77', '237']"
"['2023-07-07', '07:08:45', '84', '241']"
"['2023-07-07', '07:08:46', '82', '235']"
"['2023-07-07', '07:08:47', '317', '479']"
"['2023-07-07', '07:08:48', '321', '475']"
"['2023-07-07', '07:08:49', '225', '393']"
"['2023-07-07', '07:08:50', '98', '257']"
"['2023-07-07', '07:08:51', '76', '236']"
"['2023-07-07', '07:08:52', '78', '235']"
"['2023-07-07', '07:08:53', '77', '234']"
"['2023-07-07', '07:08:54', '79', '234']"
"['2023-07-07', '07:08:55', '77', '237']"
"['2023-07-07', '07:08:56', '81', '237']"
"['2023-07-07', '07:08:57', '77', '237']"
"['2023-07-07', '07:08:58', '79', '234']"
"['2023-07-07', '07:08:59', '92', '236']"
"['2023-07-07', '07:09:00', '126', '276']"
"['2023-07-07', '07:09:01', '76', '236']"
"['2023-07-07', '07:09:02', '77', '234']"
"['2023-07-07', '07:09:03', '77', '235']"
"['2023-07-07', '07:09:04', '84', '241']"
"['2023-07-07', '07:09:05', '76', '236']"
"['2023-07-07', '07:09:06', '76', '235']"
"['2023-07-07', '07:09:07', '79', '234']"
"['2023-07-07', '07:09:08', '76', '238']"
"['2023-07-07', '07:09:09', '78', '235']"
"['2023-07-07', '07:09:11', '77', '233']"
"['2023-07-07', '07:09:12', '79', '234']"
"['2023-07-07', '07:09:13', '78', '237']"
"['2023-07-07', '07:09:14', '77', '238']"
"['2023-07-07', '07:09:15', '76', '234']"
"['2023-07-07', '07:09:16', '77', '234']"
"['2023-07-07', '07:09:17', '77', '233']"
"['2023-07-07', '07:09:18', '82', '236']"
"['2023-07-07', '07:09:19', '76', '234']"
"['2023-07-07', '07:09:20', '77', '233']"
"['2023-07-07', '07:09:21', '101', '235']"
"['2023-07-07', '07:09:22', '77', '235']"
"['2023-07-07', '07:09:23', '80', '236']"
"['2023-07-07', '07:09:24', '78', '234']"
"['2023-07-07', '07:09:25', '92', '236']"
"['2023-07-07', '07:09:26', '79', '237']"
"['2023-07-07', '07:09:27', '78', '235']"
"['2023-07-07', '07:09:28', '78', '236']"
"['2023-07-07', '07:09:29', '76', '238']"
"['2023-07-07', '07:09:30', '81', '236']"
"['2023-07-07', '07:09:31', '105', '234']"
"['2023-07-07', '07:09:32', '76', '234']"
"['2023-07-07', '07:09:33', '78', '234']"
"['2023-07-07', '07:09:34', '79', '234']"
"['2023-07-07', '07:09:35', '93', '261']"
"['2023-07-07', '07:09:36', '76', '233']"
"['2023-07-07', '07:09:37', '81', '236']"
"['2023-07-07', '07:09:38', '77', '236']"
"['2023-07-07', '07:09:39', '77', '235']"
"['2023-07-07', '07:09:40', '88', '238']"
"['2023-07-07', '07:09:41', '80', '236']"
"['2023-07-07', '07:09:42', '77', '233']"
"['2023-07-07', '07:09:43', '78', '233']"
"['2023-07-07', '07:09:44', '79', '235']"
"['2023-07-07', '07:09:45', '97', '233']"
"['2023-07-07', '07:09:46', '76', '235']"
"['2023-07-07', '07:09:47', '78', '234']"
"['2023-07-07', '07:09:48', '77', '234']"
"['2023-07-07', '07:09:49', '83', '238']"
"['2023-07-07', '07:09:50', '77', '236']"
"['2023-07-07', '07:09:51', '81', '236']"
"['2023-07-07', '07:09:52', '79', '234']"
"['2023-07-07', '07:09:53', '205', '364']"
"['2023-07-07', '07:09:54', '80', '233']"
"['2023-07-07', '07:09:55', '111', '265']"
"['2023-07-07', '07:09:56', '82', '235']"
"['2023-07-07', '07:09:57', '77', '236']"
"['2023-07-07', '07:09:58', '78', '235']"
"['2023-07-07', '07:09:59', '80', '240']"
"['2023-07-07', '07:10:00', '76', '256']"
"['2023-07-07', '07:10:01', '79', '233']"
"['2023-07-07', '07:10:03', '159', '316']"
"['2023-07-07', '07:10:04', '128', '288']"
"['2023-07-07', '07:10:05', '86', '244']"
"['2023-07-07', '07:10:06', '85', '246']"
"['2023-07-07', '07:10:07', '78', '236']"
"['2023-07-07', '07:10:08', '98', '256']"
"['2023-07-07', '07:10:09', '76', '236']"
"['2023-07-07', '07:10:10', '98', '250']"
"['2023-07-07', '07:10:11', '77', '237']"
"['2023-07-07', '07:10:12', '80', '235']"
"['2023-07-07', '07:10:13', '78', '235']"
"['2023-07-07', '07:10:14', '79', '234']"
"['2023-07-07', '07:10:15', '79', '235']"
"['2023-07-07', '07:10:16', '76', '235']"
"['2023-07-07', '07:10:17', '79', '233']"
"['2023-07-07', '07:10:18', '79', '236']"
"['2023-07-07', '07:10:19', '81', '235']"
"['2023-07-07', '07:10:20', '193', '296']"
"['2023-07-07', '07:10:21', '77', '237']"
"['2023-07-07', '07:10:22', '78', '233']"
"['2023-07-07', '07:10:23', '91', '234']"
"['2023-07-07', '07:10:24', '82', '244']"
"['2023-07-07', '07:10:25', '129', '279']"
"['2023-07-07', '07:10:26', '78', '235']"
"['2023-07-07', '07:10:27', '77', '234']"
"['2023-07-07', '07:10:28', '78', '235']"
"['2023-07-07', '07:10:29', '79', '234']"
"['2023-07-07', '07:10:30', '98', '235']"
"['2023-07-07', '07:10:31', '98', '261']"
"['2023-07-07', '07:10:32', '77', '235']"
"['2023-07-07', '07:10:33', '80', '235']"
"['2023-07-07', '07:10:34', '77', '234']"
"['2023-07-07', '07:10:35', '104', '235']"
"['2023-07-07', '07:10:36', '78', '235']"
"['2023-07-07', '07:10:37', '78', '242']"
"['2023-07-07', '07:10:38', '79', '235']"
"['2023-07-07', '07:10:39', '84', '235']"
"['2023-07-07', '07:10:40', '109', '270']"
"['2023-07-07', '07:10:41', '78', '236']"
"['2023-07-07', '07:10:42', '78', '234']"
"['2023-07-07', '07:10:43', '79', '238']"
"['2023-07-07', '07:10:44', '80', '239']"
"['2023-07-07', '07:10:45', '78', '235']"
"['2023-07-07', '07:10:46', '145', '304']"
"['2023-07-07', '07:10:47', '79', '234']"
"['2023-07-07', '07:10:48', '78', '237']"
"['2023-07-07', '07:10:49', '80', '235']"
"['2023-07-07', '07:10:51', '160', '336']"
"['2023-07-07', '07:10:51', '122', '278']"
"['2023-07-07', '07:10:52', '84', '238']"
"['2023-07-07', '07:10:53', '84', '243']"
"['2023-07-07', '07:10:54', '79', '234']"
"['2023-07-07', '07:10:56', '78', '332']"
"['2023-07-07', '07:10:57', '77', '237']"
"['2023-07-07', '07:10:58', '77', '238']"
"['2023-07-07', '07:10:59', '78', '235']"
"['2023-07-07', '07:11:00', '84', '245']"
"['2023-07-07', '07:11:01', '77', '234']"
"['2023-07-07', '07:11:02', '76', '235']"
"['2023-07-07', '07:11:03', '77', '234']"
"['2023-07-07', '07:11:04', '80', '234']"
